id,date,team_1_name,team_1_score,team_2_name,team_2_score,d_ability_1,d_form_2,d_h2h_1,is_february,is_saturday
5a03f2584825085e2df3374e,2008-10-29 00:00:00,Boston Celtics,90.0,Cleveland Cavaliers,85.0,-0.0046617645740561035,nan,nan,-0.3969949058425927,-0.48551650892282533
5a03f2584825085e2df3374d,2008-10-29 00:30:00,Chicago Bulls,108.0,Milwaukee Bucks,95.0,-0.0046617645740561035,nan,nan,-0.3969949058425927,-0.48551650892282533
5a03f2584825085e2df3374c,2008-10-29 02:30:00,Los Angeles Lakers,96.0,Portland Trail Blazers,76.0,-0.0046617645740561035,nan,nan,-0.3969949058425927,-0.48551650892282533
5a03f2584825085e2df3374b,2008-10-29 22:00:00,Philadelphia 76ers,84.0,Toronto Raptors,95.0,-0.0046617645740561035,nan,nan,-0.3969949058425927,-0.48551650892282533
5a03f2584825085e2df3374a,2008-10-29 23:00:00,Washington Wizards,85.0,Brooklyn Nets,95.0,-0.0046617645740561035,nan,nan,-0.3969949058425927,-0.48551650892282533
5a03f2584825085e2df33749,2008-10-29 23:00:00,Orlando Magic,85.0,Atlanta Hawks,99.0,-0.0046617645740561035,nan,nan,-0.3969949058425927,-0.48551650892282533
5a03f2584825085e2df33748,2008-10-29 23:30:00,New York Knicks,120.0,Miami Heat,115.0,-0.0046617645740561035,nan,nan,-0.3969949058425927,-0.48551650892282533
5a03f2584825085e2df33747,2008-10-30 00:00:00,San Antonio Spurs,98.0,Phoenix Suns,103.0,-0.0046617645740561035,nan,nan,-0.3969949058425927,-0.48551650892282533
5a03f2584825085e2df33746,2008-10-30 00:00:00,Oklahoma City Thunder,87.0,Milwaukee Bucks,98.0,0.05646793357145963,nan,nan,-0.3969949058425927,-0.48551650892282533
5a03f2584825085e2df33744,2008-10-30 00:00:00,Detroit Pistons,100.0,Indiana Pacers,94.0,-0.0046617645740561035,nan,nan,-0.3969949058425927,-0.48551650892282533
5a03f2584825085e2df33745,2008-10-30 00:00:00,Minnesota Timberwolves,98.0,Sacramento Kings,96.0,-0.0046617645740561035,nan,nan,-0.3969949058425927,-0.48551650892282533
5a03f2584825085e2df33743,2008-10-30 00:30:00,Houston Rockets,82.0,Memphis Grizzlies,71.0,-0.0046617645740561035,nan,nan,-0.3969949058425927,-0.48551650892282533
5a03f2584825085e2df33742,2008-10-30 01:00:00,Utah Jazz,98.0,Denver Nuggets,94.0,-0.0046617645740561035,nan,nan,-0.3969949058425927,-0.48551650892282533
5a03f2584825085e2df33741,2008-10-30 02:30:00,Los Angeles Clippers,79.0,Los Angeles Lakers,117.0,-0.10781142248327052,nan,nan,-0.3969949058425927,-0.48551650892282533
5a03f2584825085e2df33740,2008-10-30 02:30:00,Golden State Warriors,103.0,New Orleans Pelicans,108.0,-0.0046617645740561035,nan,nan,-0.3969949058425927,-0.48551650892282533
5a03f2584825085e2df3373f,2008-10-30 23:00:00,Cleveland Cavaliers,96.0,Charlotte Hornets,79.0,-0.01776865156105898,nan,nan,-0.3969949058425927,-0.48551650892282533
5a03f2584825085e2df3373e,2008-10-31 00:00:00,Dallas Mavericks,102.0,Houston Rockets,112.0,-0.05378575992994365,nan,nan,-0.3969949058425927,-0.48551650892282533
5a03f2584825085e2df3373d,2008-10-31 02:30:00,Phoenix Suns,95.0,New Orleans Pelicans,108.0,-0.0046617645740561035,3.750228394821198,-0.6551743029753136,-0.3969949058425927,-0.48551650892282533
5a03f2584825085e2df33725,2008-11-04 00:00:00,Orlando Magic,96.0,Chicago Bulls,93.0,-0.16673875223403686,7.173834480525019,-0.6496144230788489,-0.3969949058425927,-0.48551650892282533
5a03f2584825085e2df33724,2008-11-04 00:00:00,Charlotte Hornets,83.0,Detroit Pistons,101.0,-0.10941374805104996,0.96801470893286,-0.6579583307282498,-0.3969949058425927,-0.48551650892282533
5a03f2584825085e2df33726,2008-11-04 00:00:00,Philadelphia 76ers,125.0,Sacramento Kings,91.0,-0.09250216710151818,4.425252710174031,-0.6508285704435331,-0.3969949058425927,-0.48551650892282533
5a03f2584825085e2df33723,2008-11-04 01:00:00,Memphis Grizzlies,90.0,Golden State Warriors,79.0,-0.006864132968805573,-2.175823847268965,-0.6468767200138527,-0.3969949058425927,-0.48551650892282533
5a03f2584825085e2df33722,2008-11-04 01:30:00,Dallas Mavericks,81.0,Cleveland Cavaliers,100.0,-0.1522547523548655,6.66752245936618,-0.6498596415807077,-0.3969949058425927,-0.48551650892282533
5a03f2584825085e2df33721,2008-11-04 03:30:00,Los Angeles Clippers,73.0,Utah Jazz,89.0,-0.2528375995554227,-0.18698003018644216,-0.6522677915331215,-0.3969949058425927,-0.48551650892282533
5a03f2584825085e2df33720,2008-11-05 00:30:00,Brooklyn Nets,86.0,Phoenix Suns,114.0,0.12029693051966535,0.7079330602342395,-0.6569606881070975,-0.3969949058425927,-0.48551650892282533
5a03f2584825085e2df3371f,2008-11-05 01:30:00,San Antonio Spurs,81.0,Dallas Mavericks,98.0,0.14879257184540284,-1.9198530874029287,-0.6595523332439426,-0.3969949058425927,-0.48551650892282533
5a03f2584825085e2df3371e,2008-11-05 01:30:00,Houston Rockets,99.0,Boston Celtics,103.0,0.10641297346746399,0.9485350935568642,-0.6596636357331743,-0.3969949058425927,-0.48551650892282533
5a03f2584825085e2df336f2,2008-11-11 00:00:00,Indiana Pacers,107.0,Oklahoma City Thunder,99.0,0.061504524267445494,-5.499359541424368,-0.6574876721484032,-0.3969949058425927,-0.48551650892282533
5a03f2584825085e2df336f3,2008-11-11 00:00:00,Orlando Magic,99.0,Portland Trail Blazers,106.0,0.0048387960328259315,4.012448415624769,-0.6581728279916113,-0.3969949058425927,-0.48551650892282533
5a03f2584825085e2df336f1,2008-11-11 00:30:00,Miami Heat,99.0,Brooklyn Nets,94.0,0.0950604649285025,-0.6629577957005344,-0.6565701439074575,-0.3969949058425927,-0.48551650892282533
5a03f2584825085e2df336f0,2008-11-11 00:30:00,Boston Celtics,94.0,Toronto Raptors,87.0,-0.02932789858530251,-2.8528491921010533,-0.6545878700454743,-0.3969949058425927,-0.48551650892282533
5a03f2584825085e2df336ef,2008-11-11 02:00:00,Phoenix Suns,107.0,Memphis Grizzlies,102.0,0.13699621721283747,2.630244411029465,-0.6529887709192702,-0.3969949058425927,-0.48551650892282533
5a03f2584825085e2df336ee,2008-11-12 00:00:00,Philadelphia 76ers,80.0,Utah Jazz,93.0,-0.007620381149916862,2.562989452673925,-0.653035694887687,-0.3969949058425927,-0.48551650892282533
5a03f2584825085e2df336ed,2008-11-12 00:00:00,Cleveland Cavaliers,99.0,Milwaukee Bucks,93.0,0.16904559816427633,-1.6803976306153194,-0.651200674661234,-0.3969949058425927,-0.48551650892282533
5a03f2584825085e2df336ec,2008-11-12 00:00:00,Charlotte Hornets,80.0,Denver Nuggets,88.0,-0.20415348070730174,-0.03148674530535627,-0.6539158989391152,-0.3969949058425927,-0.48551650892282533
5a03f2584825085e2df336e9,2008-11-12 01:30:00,Chicago Bulls,108.0,Atlanta Hawks,113.0,-0.05177754815513803,-6.69849594752376,-0.654223434093611,-0.3969949058425927,-0.48551650892282533
5a03f2584825085e2df336ea,2008-11-12 01:30:00,Dallas Mavericks,99.0,Los Angeles Lakers,106.0,-0.424436020311188,8.585461283312574,-0.6519818787762054,-0.3969949058425927,-0.48551650892282533
5a03f2584825085e2df336eb,2008-11-12 01:30:00,San Antonio Spurs,92.0,New York Knicks,80.0,-0.18951344346405447,3.6444870459092895,-0.6512905257866387,-0.3969949058425927,-0.48551650892282533
5a03f2584825085e2df336e8,2008-11-12 03:00:00,Sacramento Kings,92.0,Detroit Pistons,100.0,-0.33037149457636056,0.43367914138134567,-0.6528631366437433,-0.3969949058425927,-0.48551650892282533
5a03f2584825085e2df336e7,2008-11-12 03:30:00,Golden State Warriors,113.0,Minnesota Timberwolves,110.0,-0.09588992717300607,1.9351153643700127,-0.6516469547128604,-0.3969949058425927,-0.48551650892282533
5a03f2584825085e2df336e6,2008-11-13 00:00:00,Toronto Raptors,96.0,Philadelphia 76ers,106.0,0.03944317085855326,-0.5908702033712131,0.7141786779591547,-0.3969949058425927,-0.48551650892282533
5a03f2584825085e2df336e4,2008-11-13 00:30:00,Boston Celtics,103.0,Atlanta Hawks,102.0,-0.06640091081901044,-6.001578645990653,-0.6535253704746272,-0.3969949058425927,-0.48551650892282533
5a03f2584825085e2df336e5,2008-11-13 00:30:00,Brooklyn Nets,87.0,Indiana Pacers,98.0,-0.136260729081677,4.657650146610102,-0.6543618586656109,-0.3969949058425927,-0.48551650892282533
5a03f2584825085e2df336e2,2008-11-13 01:00:00,Oklahoma City Thunder,92.0,Orlando Magic,109.0,0.03441631345460434,-4.43174886512793,-0.6625544389447848,-0.3969949058425927,-0.48551650892282533
5a03f2584825085e2df336de,2008-11-13 01:00:00,Memphis Grizzlies,103.0,New York Knicks,132.0,0.036819601259626716,-2.6522836639355947,-0.6584076057006214,-0.3969949058425927,-0.48551650892282533
5a03f2584825085e2df336df,2008-11-13 01:00:00,Miami Heat,96.0,Portland Trail Blazers,104.0,0.03538443398404188,-2.8262143094892105,-0.6592824378412359,-0.3969949058425927,-0.48551650892282533
5a03f2584825085e2df336e3,2008-11-13 01:00:00,Washington Wizards,95.0,Utah Jazz,87.0,-0.28699699746002316,5.461070509586067,-0.6589605315621243,-0.3969949058425927,-0.48551650892282533
